img,النوع,التاريخ,ملاحظة
IMG_1744.jpeg,shift,2026-09-08,
IMG_1745.jpeg,shift,2026-09-09,
IMG_1746.jpeg,invoice,2026-09-10,
IMG_1747.jpeg,invoice,2026-09-10,"فاتورة أطياب النماص 15726 وخلفها تكرار فاتورة 22188"
IMG_1748.jpeg,hand_invoice,,"رقم 0698 - المبلغ غير مقروء"
IMG_1749.jpeg,hand_list,,"قائمة خضار بلا أسعار"
IMG_1750.jpeg,hand_invoice,,"رقم الفاتورة والمبلغ غير مقروء"
IMG_1751.jpeg,hand_invoice,,"رقم 0620 - التاريخ غير مقروء"
IMG_1752.jpeg,hand_invoice,,"رقم 0636 - التاريخ غير مقروء"
IMG_1753.jpeg,hand_invoice,,"رقم 0250 - التاريخ غير مقروء"
IMG_1754.jpeg,hand_invoice,,"رقم 0324 - التاريخ غير مقروء"
IMG_1755.jpeg,hand_invoice,,"رقم 0221 - المبلغ والتاريخ غير مقروء"
IMG_1756.jpeg,hand_invoice,,"رقم 0605 - المبلغ غير مقروء (٤٧ أو ٧٤)"
IMG_1757.jpeg,hand_invoice,,"رقم 0668 - التاريخ غير مقروء"
IMG_1758.jpeg,hand_invoice,,"رقم 0267 - التاريخ غير مقروء"
IMG_1759.jpeg,hand_invoice,,"رقم 0282 - التاريخ غير مقروء"
IMG_1760.jpeg,invoice,2026-04-13,"صقر باك - فاتورة 19155"
IMG_1761.jpeg,hand_invoice,,"رقم 0236 - التاريخ غير مقروء"
IMG_1762.jpeg,other,,"ورقة بخط اليد بأرقام - أبو معتصم"
IMG_1763.jpeg,invoice,2026-04-21,"دار السالمين - الصورة مائلة 90 درجة"
IMG_1764.jpeg,invoice,2026-04-22,"دار السالمين 678626 - الصورة مائلة"
IMG_1765.jpeg,hand_invoice,,"رقم 0653 - الصورة مائلة والمبلغ غير مقروء"
IMG_1766.jpeg,invoice,2026-06-20,"دار السالمين 689226 - بعض أسماء الأصناف غير مقروءة"
