img,النوع,التاريخ,الجهة,المرجع,عدد_العمليات,المبلغ,ملاحظة
IMG_1762.jpeg,other,,"أبو معتصم","كرتون شرائح",,114,"ورقة بخط اليد"
IMG_1762.jpeg,other,,"أبو معتصم","صينية",,94,"ورقة بخط اليد"
IMG_1762.jpeg,other,,"أبو معتصم","",,156,"ورقة بخط اليد - وصف السطر غير مقروء"
IMG_1772.jpeg,delivery,2026-05-27,Keeta,2594,6,36.25,"المجموع شامل الضريبة 36.25 - دفع العميل 31.23 - رقم الطلب 4124820478012594"
IMG_1773.jpeg,other,2026-05-28,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",042363,,14.00,"إيصال شراء مدى - رمز الموافقة 042363"
IMG_1788.jpeg,other,2026-05-19,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",502466,,15.00,"إيصال شراء مدى 17:52:31"
IMG_1789.jpeg,other,2026-05-19,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",018555,,10.00,"إيصال شراء مدى 18:51:53"
IMG_1790.jpeg,other,2026-05-19,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",275846,,30.00,"إيصال شراء مدى 21:23:59"
IMG_1791.jpeg,other,2026-05-19,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",014664,,24.00,"إيصال شراء مدى 23:25:54"
IMG_1820.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,13.00,"موازنة مدى TOTALS MATCHED - 01:14:52"
IMG_1822.jpeg,delivery,2026-04-23,hungerstation,132363389,2,37.00,"طلب #28 مدفوع مسبقا - شاورما صاروخ 11.00 وشاورما عربي دبل 26.00"
IMG_1823.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,3,169.00,"موازنة مدى TOTALS MATCHED"
IMG_1824.jpeg,mada,,"مؤسسة حمد عبدالحميد الهقاص - الحمراء",,1,15.00,"موازنة مدى - TOTAL DB و TOTALS و P/ON كلها 1 بمبلغ 15.00"
