img,التاريخ,المورد,الرقم_الضريبي,رقم_الفاتورة,الصنف,الوحدة,سعر_الوحدة,الكمية,قبل_الضريبة,الضريبة,الإجمالي,طريقة_الدفع
IMG_1746.jpeg,2026-09-10,"شركة لؤلؤة الجنات التجارية / شركة خيمة الضيافة للمحامص",311326545000003,22188,"حمص رقم ٧ الجميل ١٥ كجم",كيس,56.52,1,56.52,,65.00,نقدي
IMG_1746.jpeg,2026-09-10,"شركة لؤلؤة الجنات التجارية / شركة خيمة الضيافة للمحامص",311326545000003,22188,"شطه مطحون تايجر ابو نمرين ١٥ كجم",كجم,21.74,1,21.74,,25.00,نقدي
IMG_1746.jpeg,2026-09-10,"شركة لؤلؤة الجنات التجارية / شركة خيمة الضيافة للمحامص",311326545000003,22188,"كتشب بيدر جالون ٤٫٥ كجم",حبه,19.13,1,19.13,,22.00,نقدي
IMG_1746.jpeg,2026-09-10,"شركة لؤلؤة الجنات التجارية / شركة خيمة الضيافة للمحامص",311326545000003,22188,"مياه الشافيه ٣٣٠ مل",شدة,4.35,2,8.70,,10.00,نقدي
IMG_1747.jpeg,2026-09-10,"شركة أطياب النماص",314134723100003,15726,"شاورما ساديا 4×2.5",كرتون,230.00,1.00,200.00,30.00,230.00,شبكة
IMG_1748.jpeg,,,,0698,صحن,,,,,,,
IMG_1750.jpeg,,,,,صحن,,,,,,,
IMG_1751.jpeg,,,,0620,صحن,,,,,,51,
IMG_1752.jpeg,,,,0636,صحن,,,,,,81,
IMG_1753.jpeg,,,,0250,صحن,,,,,,75,
IMG_1754.jpeg,,,,0324,صحن,,,,,,75,
IMG_1755.jpeg,,,,0221,صحن,,,,,,,
IMG_1756.jpeg,,,,0605,صحن,,,,,,,
IMG_1757.jpeg,,,,0668,صحن,,,,,,94,
IMG_1758.jpeg,,,,0267,صحن,,,,,,94,
IMG_1759.jpeg,,,,0282,صحن,,,,,,60,
IMG_1760.jpeg,2026-04-13,"شركة صقر التغليف التجارية",313030518600003,19155,"ورق ساندويتش 25*35 فلافل شد 2000",شد,43.00,2.00,,,86.00,نقدي
IMG_1760.jpeg,2026-04-13,"شركة صقر التغليف التجارية",313030518600003,19155,"ورق ساندويتش 25*35 شاورما دجاج شد 2000",شد,43.00,1.00,,,43.00,نقدي
IMG_1760.jpeg,2026-04-13,"شركة صقر التغليف التجارية",313030518600003,19155,"ورق ساندويتش 25*35 شاورما لحم شد 2000",شد,43.00,1.00,,,43.00,نقدي
IMG_1761.jpeg,,,,0236,صحن,,,,,,80,
IMG_1763.jpeg,2026-04-21,"شركة دار السالمين التجارية",311327878700003,678533,"شاورما دجاج ١٠كجم",كرتون,210,4,840.00,126.00,966.00,
IMG_1763.jpeg,2026-04-21,"شركة دار السالمين التجارية",311327878700003,678533,"طحينة الجميل ١٤كجم",تنكة,165,1,165.00,24.75,189.75,
IMG_1763.jpeg,2026-04-21,"شركة دار السالمين التجارية",311327878700003,678533,"شاكلت كفر ملفتين",علبة,23,1,23.00,3.45,26.45,
IMG_1763.jpeg,2026-04-21,"شركة دار السالمين التجارية",311327878700003,678533,"كمون مطحون",كيلو,23,0.5,11.50,1.73,13.23,
IMG_1764.jpeg,2026-04-22,"شركة دار السالمين التجارية",311327878700003,678626,"خل ابيض ر1 شد4",كرتون,45,0.25,11.25,1.69,12.94,نقدي
