الصنف,الكمية,كمية_يومية,القيمة,نسبة_من_المبيعات,سعر_الوحدة,اللحم
شاورما عربي,667,9.01,8004.00,20.21,12.00,دجاج
شاورما صاروخ خبز تركي,834,11.27,7506.00,18.95,9.00,دجاج
شاورما خبز شامي صغير,1003,13.55,5015.00,12.66,5.00,دجاج
شاورما صاروخ خبز تركي مع الجبن,439,5.93,4390.00,11.08,10.00,دجاج
شاورما عربي مع الجبن,183,2.47,2379.00,6.01,13.00,دجاج
شاورما عربي دبل,106,1.43,2120.00,5.35,20.00,دجاج
صحن بطاطس صغير,202,2.73,1008.00,2.55,4.99,-
ميرندا حمضيات,324,4.38,958.00,2.42,2.96,-
شاورما عربي دبل مع الجبن,41,0.55,943.00,2.38,23.00,دجاج
شاورما خبز شامي صغير مع الجبن,146,1.97,876.00,2.21,6.00,دجاج
ماونتن ديو,238,3.22,678.00,1.71,2.85,-
ساندوتش فلافل بدون بيض,163,2.20,652.00,1.65,4.00,-
عصير ربيع,290,3.92,580.00,1.46,2.00,-
بيبسي,185,2.50,543.00,1.37,2.94,-
ساندوتش فلافل مع بيض مسلوق,102,1.38,510.00,1.29,5.00,-
صحن بطاطس كبير,47,0.64,470.00,1.19,10.00,-
شاورمالحم كبير,37,0.50,444.00,1.12,12.00,لحم
ساندوتش فلافل مع بيض مقلي,81,1.09,405.00,1.02,5.00,-
ساندويتش كبدة,45,0.61,315.00,0.80,7.00,-
شاورما لحم صغير,35,0.47,280.00,0.71,8.00,لحم
عربي لحم صغير,20,0.27,280.00,0.71,14.00,لحم
عربي لحم كبير,10,0.14,200.00,0.50,20.00,لحم
شاورما باشكا مع الجبن,11,0.15,198.00,0.50,18.00,دجاج
مياه,168,2.27,168.00,0.42,1.00,-
فلافل 5 حبات,99,1.34,99.00,0.25,1.00,-
ساندويتش شكشوكة,16,0.22,80.00,0.20,5.00,-
شاورما صاروخ صامولي مع الجبن,8,0.11,80.00,0.20,10.00,دجاج
شاورما باشكا,5,0.07,80.00,0.20,16.00,دجاج
ساندويتش لحم مقلقل,11,0.15,77.00,0.19,7.00,-
شاهي,75,1.01,75.00,0.19,1.00,-
ساندويتش بيض مقلي,15,0.20,45.00,0.11,3.00,-
ساندويتش بيض مقلي مع جبن,10,0.14,40.00,0.10,4.00,-
وجبة شاورما مشوي كوز,2,0.03,40.00,0.10,20.00,دجاج
شاورما صاروخ صامولي,4,0.05,36.00,0.09,9.00,دجاج
صحن فلافل مشكل,2,0.03,16.00,0.04,8.00,-
ساندويتش بيض مسلوق مع جبن,2,0.03,8.00,0.02,4.00,-
ساندويتش جبن سايل,1,0.01,3.00,0.01,3.00,-
ساندويتش بيض مسلوق,1,0.01,3.00,0.01,3.00,-
