التاريخ,المبيعات,عدد_الفواتير,متوسط_الفاتورة,نقدي
2026-07-01,619.00,40,15.47,113.00
2026-07-02,620.00,51,12.16,171.00
2026-07-03,607.00,38,15.97,129.00
2026-07-04,825.00,53,15.57,232.00
2026-07-05,747.00,47,15.89,272.00
2026-07-06,562.00,35,16.06,136.00
2026-07-07,634.00,39,16.26,135.00
2026-07-08,695.00,44,15.80,274.00
2026-07-09,654.00,42,15.57,269.00
2026-07-10,642.00,40,16.05,319.00
2026-07-11,620.00,41,15.12,234.00
2026-07-12,383.00,30,12.77,112.00
2026-07-13,652.00,39,16.72,232.00
2026-07-14,601.00,40,15.03,170.00
2026-07-15,511.00,32,15.97,171.00
2026-07-16,337.00,32,10.53,87.00
2026-07-17,485.00,29,16.72,177.00
2026-07-18,275.00,24,11.46,84.00
2026-07-19,627.00,40,15.68,122.00
2026-07-20,490.00,32,15.31,245.00
2026-07-21,531.00,40,13.28,149.00
2026-07-22,515.00,31,16.61,137.00
2026-07-23,589.00,41,14.37,291.00
2026-07-24,489.00,26,18.81,189.00
2026-07-25,595.00,42,14.17,124.00
2026-07-26,471.00,30,15.70,189.00
2026-07-27,794.00,41,19.37,216.00
2026-07-28,509.00,31,16.42,143.00
2026-07-29,522.00,34,15.35,130.00
2026-07-30,468.00,34,13.76,98.00
2026-07-31,607.00,34,17.85,256.00
2026-08-01,445.00,37,12.03,104.00
2026-08-02,648.00,43,15.07,103.00
2026-08-03,444.00,28,15.86,195.00
2026-08-04,363.00,24,15.12,102.00
2026-08-05,485.00,42,11.55,235.00
2026-08-06,350.00,25,14.00,105.00
2026-08-07,513.00,31,16.55,201.00
2026-08-08,429.00,25,17.16,89.00
2026-08-09,598.00,31,19.29,158.00
2026-08-10,374.00,22,17.00,190.00
2026-08-11,594.00,38,15.63,136.00
2026-08-12,452.00,33,13.70,173.00
2026-08-13,324.00,21,15.43,76.00
2026-08-14,494.00,24,20.58,131.00
2026-08-15,465.00,34,13.68,274.00
2026-08-16,403.00,34,11.85,156.00
2026-08-17,420.00,28,15.00,229.00
2026-08-18,423.00,28,15.11,165.00
2026-08-19,651.00,32,20.34,194.00
2026-08-20,295.00,26,11.35,174.00
2026-08-21,307.00,22,13.95,200.00
2026-08-22,369.00,29,12.72,142.00
2026-08-23,500.00,26,19.23,131.00
2026-08-24,345.00,25,13.80,96.00
2026-08-25,328.00,21,15.62,125.00
2026-08-26,234.00,22,10.64,84.00
2026-08-27,816.00,46,17.74,425.00
2026-08-28,715.00,36,19.86,158.00
2026-08-29,469.00,28,16.75,129.00
2026-08-30,692.00,34,20.35,273.00
2026-08-31,549.00,40,13.72,115.00
2026-09-01,945.00,47,20.11,211.00
2026-09-02,494.00,34,14.53,86.00
2026-09-03,558.00,31,18.00,312.00
2026-09-04,610.00,36,16.94,119.00
2026-09-05,360.00,23,15.65,106.00
2026-09-06,642.00,50,12.84,225.00
2026-09-07,626.00,48,13.04,251.00
2026-09-08,484.00,30,16.13,82.00
2026-09-09,612.00,47,13.02,91.00
2026-09-10,948.00,65,14.58,200.00
2026-09-11,765.00,55,13.91,130.00
2026-09-12,390.00,28,13.93,94.00
