الساعة,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09
00,18.67,35.81,44.50,42.61,22.42,37.17
01,1.07,4.13,12.93,16.32,4.74,1.00
02,0.00,0.00,1.27,0.00,0.00,0.00
05,1.97,2.94,4.97,0.00,0.42,3.33
06,11.20,14.39,16.47,2.03,4.77,10.92
07,50.13,32.32,22.63,7.61,3.42,21.83
08,17.40,12.48,23.53,11.52,7.13,19.58
09,11.67,11.39,20.97,9.06,4.81,4.42
10,8.40,3.45,8.10,7.19,3.16,0.25
11,0.17,0.00,0.00,0.61,0.00,0.00
12,0.00,1.52,7.73,3.26,0.00,0.00
13,12.13,24.26,21.07,21.48,0.32,0.00
14,28.50,25.77,19.03,22.19,2.52,0.00
15,18.03,24.52,18.13,16.84,3.29,0.00
16,35.30,28.90,22.47,22.97,7.45,7.00
17,68.17,47.16,38.30,30.97,28.81,9.58
18,65.57,73.68,45.30,39.10,40.03,36.42
19,104.47,63.32,41.90,30.65,47.48,94.00
20,115.93,102.29,110.53,63.29,61.65,115.42
21,204.67,138.52,71.70,61.26,87.84,153.50
22,144.47,117.77,142.20,87.55,79.39,63.08
23,76.63,79.94,95.27,73.68,57.90,42.00
